AIMed_d30@1	Isolation of human PROTEINT1 and its binding specificity with PROTEINT2
AIMed_d30@2	We screen protein for interaction with PROTEINT1 and clone the full-length cDNA of human PROTEINT2 which encode 1225 amino acid
AIMed_d30@3	Yeast two-hybrid assay GST binding assay and immunoprecipitation demonstrate that PROTEINT1 interact with a hydrophilic loop region in the endoproteolytic C-terminal fragment of PROTEINT2 but not with that of PROTEINT0
AIMed_d30@6	We also find another PROTEINT0 PROTEINT1 interact with PROTEINT2
AIMed_d192@1	Activation of PROTEINT0 PROTEINT1 mediate by PROTEINT0 PROTEINT2
AIMed_d192@2	The PROTEINT0 PROTEINT1 PROTEINT0 convert enzyme PROTEINT2 process the inactive PROTEINT0 precursor to the proinflammatory cytokine
AIMed_d192@2	The PROTEINT0 PROTEINT0 PROTEINT1 convert enzyme PROTEINT2 process the inactive PROTEINT0 precursor to the proinflammatory cytokine
AIMed_d192@3	PROTEINT1 be also show to cleave the precursor of PROTEINT0 PROTEINT2 PROTEINT0 at the authentic processing site with high efficiency thereby activate PROTEINT0 and facilitate its export
AIMed_d192@3	PROTEINT1 be also show to cleave the precursor of PROTEINT0 PROTEINT0 PROTEINT2 at the authentic processing site with high efficiency thereby activate PROTEINT0 and facilitate its export
AIMed_d192@3	PROTEINT1 be also show to cleave the precursor of PROTEINT0 PROTEINT0 PROTEINT0 at the authentic processing site with high efficiency thereby activate PROTEINT2 and facilitate its export
AIMed_d143@6	The result show that PROTEINT1 and PROTEINT0 can both stimulate cell proliferation induce similar pattern of protein tyrosine phosphorylation and activate the same proto-oncogene PROTEINT2 expression in TF-1 cell
AIMed_d143@6	The result show that PROTEINT0 and PROTEINT1 can both stimulate cell proliferation induce similar pattern of protein tyrosine phosphorylation and activate the same proto-oncogene PROTEINT2 expression in TF-1 cell
AIMed_d138@1	Interaction of mammalian splicing factor PROTEINT1 with PROTEINT2 and relation of its 60-kD subunit to yeast PROTEINT0
AIMed_d138@5	PROTEINT1 interact with PROTEINT2 in the presence of PROTEINT0 to generate a structure similar to 17S PROTEINT0 which suggest a function for PROTEINT0 and PROTEINT0 in the incorporation of PROTEINT0 into the spliceosome
AIMed_d37@2	PROTEINT1 be first characterize as a receptor for PROTEINT2 PROTEINT0 and PROTEINT0 and be rapidly show to be the main coreceptor for M-tropic human immunodeficiency virus HIV 1 strain and simian immunodeficiency virus SIV
AIMed_d37@2	PROTEINT1 be first characterize as a receptor for PROTEINT0 PROTEINT2 and PROTEINT0 and be rapidly show to be the main coreceptor for M-tropic human immunodeficiency virus HIV 1 strain and simian immunodeficiency virus SIV
AIMed_d37@2	PROTEINT1 be first characterize as a receptor for PROTEINT0 PROTEINT0 and PROTEINT2 and be rapidly show to be the main coreceptor for M-tropic human immunodeficiency virus HIV 1 strain and simian immunodeficiency virus SIV
AIMed_d37@6	We find that in addition to PROTEINT1 PROTEINT0 and PROTEINT0 five other CC-chemokine could compete for 125 I PROTEINT2 binding PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 and PROTEINT0 binding be characterize by IC 50 value of 0.22 2.14 5.89 29.9 and 21.7 nmol/L respectively
AIMed_d37@6	We find that in addition to PROTEINT0 PROTEINT1 and PROTEINT0 five other CC-chemokine could compete for 125 I PROTEINT2 binding PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 and PROTEINT0 binding be characterize by IC 50 value of 0.22 2.14 5.89 29.9 and 21.7 nmol/L respectively
AIMed_d37@6	We find that in addition to PROTEINT0 PROTEINT0 and PROTEINT1 five other CC-chemokine could compete for 125 I PROTEINT2 binding PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 and PROTEINT0 binding be characterize by IC 50 value of 0.22 2.14 5.89 29.9 and 21.7 nmol/L respectively
AIMed_d37@6	We find that in addition to PROTEINT0 PROTEINT0 and PROTEINT0 five other CC-chemokine could compete for 125 I PROTEINT1 binding PROTEINT2 PROTEINT0 PROTEINT0 PROTEINT0 and PROTEINT0 binding be characterize by IC 50 value of 0.22 2.14 5.89 29.9 and 21.7 nmol/L respectively
AIMed_d37@6	We find that in addition to PROTEINT0 PROTEINT0 and PROTEINT0 five other CC-chemokine could compete for 125 I PROTEINT1 binding PROTEINT0 PROTEINT2 PROTEINT0 PROTEINT0 and PROTEINT0 binding be characterize by IC 50 value of 0.22 2.14 5.89 29.9 and 21.7 nmol/L respectively
AIMed_d37@6	We find that in addition to PROTEINT0 PROTEINT0 and PROTEINT0 five other CC-chemokine could compete for 125 I PROTEINT1 binding PROTEINT0 PROTEINT0 PROTEINT2 PROTEINT0 and PROTEINT0 binding be characterize by IC 50 value of 0.22 2.14 5.89 29.9 and 21.7 nmol/L respectively
AIMed_d37@6	We find that in addition to PROTEINT0 PROTEINT0 and PROTEINT0 five other CC-chemokine could compete for 125 I PROTEINT1 binding PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT2 and PROTEINT0 binding be characterize by IC 50 value of 0.22 2.14 5.89 29.9 and 21.7 nmol/L respectively
AIMed_d37@6	We find that in addition to PROTEINT0 PROTEINT0 and PROTEINT0 five other CC-chemokine could compete for 125 I PROTEINT1 binding PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 and PROTEINT2 binding be characterize by IC 50 value of 0.22 2.14 5.89 29.9 and 21.7 nmol/L respectively
AIMed_d37@7	Among these ligand PROTEINT1 have the remarkable property of binding PROTEINT2 with high affinity without elicit a functional response PROTEINT0 could also inhibit the activation of PROTEINT0 by PROTEINT0 and may therefore be consider as a natural antagonist for PROTEINT0
AIMed_d37@7	Among these ligand PROTEINT0 have the remarkable property of binding PROTEINT0 with high affinity without elicit a functional response PROTEINT1 could also inhibit the activation of PROTEINT0 by PROTEINT0 and may therefore be consider as a natural antagonist for PROTEINT2
AIMed_d37@7	Among these ligand PROTEINT0 have the remarkable property of binding PROTEINT0 with high affinity without elicit a functional response PROTEINT0 could also inhibit the activation of PROTEINT1 by PROTEINT2 and may therefore be consider as a natural antagonist for PROTEINT0
AIMed_d37@9	Chemokine that could compete with high affinity for PROTEINT0 binding could also compete for monomeric PROTEINT0 binding although with variable potency maximal PROTEINT1 binding inhibition be 80 for PROTEINT2 but only 30 for PROTEINT0
AIMed_d37@9	Chemokine that could compete with high affinity for PROTEINT0 binding could also compete for monomeric PROTEINT0 binding although with variable potency maximal PROTEINT1 binding inhibition be 80 for PROTEINT0 but only 30 for PROTEINT2
AIMed_d37@10	PROTEINT1 could compete efficiently for PROTEINT2 binding but be however find to be a weak inhibitor of HIV infection probably as a consequence of its inability to downregulate the receptor
AIMed_d195@1	Competitive binding of PROTEINT1 and PROTEINT0 to the PROTEINT2
AIMed_d195@1	Competitive binding of PROTEINT0 and PROTEINT1 to the PROTEINT2
