AIMed_d30@1	NN IN JJ PROTEINT1 CC PRP$ NN NN IN PROTEINT2
AIMed_d30@2	PRP VBD NNS IN NN IN PROTEINT1 CC VBD DT JJ NN IN JJ PROTEINT2 WDT VBD CD NN NNS
AIMed_d30@3	JJ JJ NN NN NN NN CC NN VBD IN PROTEINT1 VBD IN DT JJ NN NN IN DT JJ JJ NN IN PROTEINT2 CC RB IN DT IN PROTEINT0
AIMed_d30@6	PRP RB VBD DT PROTEINT0 PROTEINT1 VBD IN PROTEINT2
AIMed_d192@1	NN IN PROTEINT0 PROTEINT1 VBN IN PROTEINT0 PROTEINT2
AIMed_d192@2	DT PROTEINT0 PROTEINT1 PROTEINT0 VBG NN PROTEINT2 VBZ DT JJ PROTEINT0 NN TO DT JJ NN
AIMed_d192@2	DT PROTEINT0 PROTEINT0 PROTEINT1 VBG NN PROTEINT2 VBZ DT JJ PROTEINT0 NN TO DT JJ NN
AIMed_d192@3	PROTEINT1 VBD RB VBN TO VB DT NN IN PROTEINT0 PROTEINT2 PROTEINT0 IN DT JJ NN NN IN JJ NN RB VBG PROTEINT0 CC VBG PRP$ NN
AIMed_d192@3	PROTEINT1 VBD RB VBN TO VB DT NN IN PROTEINT0 PROTEINT0 PROTEINT2 IN DT JJ NN NN IN JJ NN RB VBG PROTEINT0 CC VBG PRP$ NN
AIMed_d192@3	PROTEINT1 VBD RB VBN TO VB DT NN IN PROTEINT0 PROTEINT0 PROTEINT0 IN DT JJ NN NN IN JJ NN RB VBG PROTEINT2 CC VBG PRP$ NN
AIMed_d143@6	DT NNS VBD IN PROTEINT1 CC PROTEINT0 MD CC VB NN NN VBP JJ NN IN NN NN NN CC VBP DT JJ NN PROTEINT2 NN IN NN NNS
AIMed_d143@6	DT NNS VBD IN PROTEINT0 CC PROTEINT1 MD CC VB NN NN VBP JJ NN IN NN NN NN CC VBP DT JJ NN PROTEINT2 NN IN NN NNS
AIMed_d138@1	NN IN JJ NN NN PROTEINT1 IN PROTEINT2 CC NN IN PRP$ JJ NN TO NN PROTEINT0
AIMed_d138@5	PROTEINT1 VBZ IN PROTEINT2 IN DT NN IN PROTEINT0 TO VB DT NN JJ TO NN PROTEINT0 WDT VBZ DT NN IN PROTEINT0 CC PROTEINT0 IN DT NN IN PROTEINT0 IN DT NN
AIMed_d37@2	PROTEINT1 VBD RB VBN IN DT NN IN PROTEINT2 PROTEINT0 CC PROTEINT0 CC VBD RB VBN TO VB DT JJ NN IN JJ JJ NN NN NN CD NNS CC JJ NN NN NN
AIMed_d37@2	PROTEINT1 VBD RB VBN IN DT NN IN PROTEINT0 PROTEINT2 CC PROTEINT0 CC VBD RB VBN TO VB DT JJ NN IN JJ JJ NN NN NN CD NNS CC JJ NN NN NN
AIMed_d37@2	PROTEINT1 VBD RB VBN IN DT NN IN PROTEINT0 PROTEINT0 CC PROTEINT2 CC VBD RB VBN TO VB DT JJ NN IN JJ JJ NN NN NN CD NNS CC JJ NN NN NN
AIMed_d37@6	PRP VBD IN IN NN TO PROTEINT1 PROTEINT0 CC PROTEINT0 CD JJ NNS MD VB IN CD NN PROTEINT2 NN PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 CC PROTEINT0 NN VBD VBN IN NN CD NNS IN CD CD CD CD CC CD NN RB
AIMed_d37@6	PRP VBD IN IN NN TO PROTEINT0 PROTEINT1 CC PROTEINT0 CD JJ NNS MD VB IN CD NN PROTEINT2 NN PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 CC PROTEINT0 NN VBD VBN IN NN CD NNS IN CD CD CD CD CC CD NN RB
AIMed_d37@6	PRP VBD IN IN NN TO PROTEINT0 PROTEINT0 CC PROTEINT1 CD JJ NNS MD VB IN CD NN PROTEINT2 NN PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 CC PROTEINT0 NN VBD VBN IN NN CD NNS IN CD CD CD CD CC CD NN RB
AIMed_d37@6	PRP VBD IN IN NN TO PROTEINT0 PROTEINT0 CC PROTEINT0 CD JJ NNS MD VB IN CD NN PROTEINT1 NN PROTEINT2 PROTEINT0 PROTEINT0 PROTEINT0 CC PROTEINT0 NN VBD VBN IN NN CD NNS IN CD CD CD CD CC CD NN RB
AIMed_d37@6	PRP VBD IN IN NN TO PROTEINT0 PROTEINT0 CC PROTEINT0 CD JJ NNS MD VB IN CD NN PROTEINT1 NN PROTEINT0 PROTEINT2 PROTEINT0 PROTEINT0 CC PROTEINT0 NN VBD VBN IN NN CD NNS IN CD CD CD CD CC CD NN RB
AIMed_d37@6	PRP VBD IN IN NN TO PROTEINT0 PROTEINT0 CC PROTEINT0 CD JJ NNS MD VB IN CD NN PROTEINT1 NN PROTEINT0 PROTEINT0 PROTEINT2 PROTEINT0 CC PROTEINT0 NN VBD VBN IN NN CD NNS IN CD CD CD CD CC CD NN RB
AIMed_d37@6	PRP VBD IN IN NN TO PROTEINT0 PROTEINT0 CC PROTEINT0 CD JJ NNS MD VB IN CD NN PROTEINT1 NN PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT2 CC PROTEINT0 NN VBD VBN IN NN CD NNS IN CD CD CD CD CC CD NN RB
AIMed_d37@6	PRP VBD IN IN NN TO PROTEINT0 PROTEINT0 CC PROTEINT0 CD JJ NNS MD VB IN CD NN PROTEINT1 NN PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 CC PROTEINT2 NN VBD VBN IN NN CD NNS IN CD CD CD CD CC CD NN RB
AIMed_d37@7	IN DT NNS PROTEINT1 VBD DT JJ NN IN NN PROTEINT2 IN JJ NN IN VBG DT JJ NN PROTEINT0 MD RB VB DT NN IN PROTEINT0 IN PROTEINT0 CC MD RB VB VBN IN DT JJ NN IN PROTEINT0
AIMed_d37@7	IN DT NNS PROTEINT0 VBD DT JJ NN IN NN PROTEINT0 IN JJ NN IN VBG DT JJ NN PROTEINT1 MD RB VB DT NN IN PROTEINT0 IN PROTEINT0 CC MD RB VB VBN IN DT JJ NN IN PROTEINT2
AIMed_d37@7	IN DT NNS PROTEINT0 VBD DT JJ NN IN NN PROTEINT0 IN JJ NN IN VBG DT JJ NN PROTEINT0 MD RB VB DT NN IN PROTEINT1 IN PROTEINT2 CC MD RB VB VBN IN DT JJ NN IN PROTEINT0
AIMed_d37@9	NNS WDT MD VB IN JJ NN IN PROTEINT0 NN MD RB VB IN JJ PROTEINT0 NN IN IN JJ NNS JJ PROTEINT1 NN NN VBD CD IN PROTEINT2 CC RB CD IN PROTEINT0
AIMed_d37@9	NNS WDT MD VB IN JJ NN IN PROTEINT0 NN MD RB VB IN JJ PROTEINT0 NN IN IN JJ NNS JJ PROTEINT1 NN NN VBD CD IN PROTEINT0 CC RB CD IN PROTEINT2
AIMed_d37@10	PROTEINT1 MD VB RB IN PROTEINT2 NN CC VBD RB VBN TO VB DT JJ NN IN NN NN RB IN DT NN IN PRP$ NN TO VB DT NN
AIMed_d195@1	JJ NN IN PROTEINT1 CC PROTEINT0 TO DT PROTEINT2
AIMed_d195@1	JJ NN IN PROTEINT0 CC PROTEINT1 TO DT PROTEINT2
AIMed_d195@3	DT NN IN NN NN NNS VBZ JJ CC JJ IN DT NN IN PROTEINT0 VBG DT RB JJ NN IN NN NNS CC DT JJ NN PROTEINT0 DT NN IN DT PROTEINT0 NN IN PROTEINT0 VBG NNS VBZ VBN RB IN DT NN JJ NN NN WDT VBZ IN JJ NNS IN NN NNS CC DT JJ NN JJ NN PROTEINT0 PROTEINT1 VBZ IN PRP$ JJ NN NN TO DT JJ NN IN CC PROTEINT0 CC PROTEINT0 NNS IN DT PROTEINT2 CC MD VB VBN IN NN NNS CC PROTEINT0 IN NN NN
