index0	cluster1	[TRIGGERPRI,CC,PRP$]	[5.269851167940736,7.528121555338087,8.385340322851]
	cluster2	[TRIGGERPRI,@,@]	[3.835225024556211,5.27272437419934,5.27272437419934]
	cluster3	[TRIGGERPRI,CC,VBD]	[5.033140227305667,7.273078605223524,7.865639546197596]
	cluster4	[TRIGGERPRI,WDT,VBD]	[3.348821688894672,3.613256084135628,4.2435003489766085]
	cluster5	[TRIGGERPRI,VBD,IN]	[4.492344384493788,5.212546049920071,6.686574091199009]
		[TRIGGERPRI,VBD,JJ]	[4.492344384493788,5.212546049920071,6.686574091199009]
		[TRIGGERPRI,IN,NNS]	[4.488521341621754,5.627292282061349,6.678284123336032]
		[TRIGGERPRI,#,#]	[4.490432863057771,5.41991916599071,6.68242910726752]
		[TRIGGERPRI,VBD,TO]	[4.492344384493788,5.212546049920071,6.686574091199009]
	cluster6	[TRIGGERPRI,CC,RB]	[5.879192619515674,8.182469154114237,9.731741777239275]
	cluster7	[TRIGGERPRI,CC,NN]	[8.028800801999967,10.471951335929791,14.555814951051328]
	cluster8	[TRIGGERPRI,VBN,JJ]	[3.7329827894874974,4.168011094168085,5.054994806938154]
		[TRIGGERPRI,RB,VBP]	[3.7312141852066967,4.169083544191474,5.051234523854204]
		[TRIGGERPRI,RB,VBN]	[3.7312141852066967,4.169083544191474,5.051234523854204]
		[TRIGGERPRI,#,#]	[3.732098487347097,4.16854731917978,5.053114665396179]
		[TRIGGERPRI,RB,CC]	[3.7312141852066967,4.169083544191474,5.051234523854204]
	cluster9	[TRIGGERPRI,NN,NN]	[10.136356286018778,13.388010043032619,19.36218866992928]
	cluster10	[TRIGGERPRI,NN,VBD]	[6.257003309516778,9.225454097263846,10.572002217412603]
	cluster11	[TRIGGERPRI,NN,VBN]	[5.490306342176052,8.391450823011107,8.871102585287723]
	cluster12	[TRIGGERPRI,NN,@]	[7.919103482779229,11.018471347517531,14.307418195836078]
	cluster13	[TRIGGERPRI,VBN,IN]	[5.907060306886353,6.384428555277838,9.793586937064143]
	cluster14	[TRIGGERPRI,NN,TO]	[5.8510279564057885,8.78449258631794,9.669260003655896]
	cluster15	[TRIGGERPRI,VBZ,DT]	[5.708039108182119,7.169467452983451,9.352402290909087]
	cluster16	[TRIGGERPRI,NN,IN]	[7.803639754944591,10.89445551346354,14.046184395776299]
	cluster17	[TRIGGERPRI,IN,DT]	[6.661059831900928,7.890906445933881,11.47465426336321]
	cluster18	[TRIGGERPRI,VBD,RB]	[5.917085110129041,6.678097920013266,9.815839775063115]
	cluster19	[TRIGGERPRI,CC,#]	[4.644665654062737,6.853330075301016,7.017413974780193]
		[TRIGGERPRI,CC,RBR]	[4.644665654062737,6.853330075301016,7.017413974780193]
		[TRIGGERPRI,CC,PRP]	[4.644665654062737,6.853330075301016,7.017413974780193]
		[TRIGGERPRI,CC,VBG]	[4.644665654062737,6.853330075301016,7.017413974780193]
	cluster20	[TRIGGERPRI,JJ,NN]	[4.854076935625426,5.401048475926064,7.473899408781257]
	cluster21	[TRIGGERPRI,NN,CC]	[9.031430834031898,12.20981298866419,16.834847771864013]
	cluster22	[TRIGGERPRI,VBD,VBN]	[6.398258868581597,7.171692809151882,10.887113838511908]
	cluster23	[TRIGGERPRI,NNS,JJ]	[4.053895346266874,4.782747667574851,5.740573976018865]
		[TRIGGERPRI,NNS,VBN]	[4.053895346266874,4.782747667574851,5.740573976018865]
		[TRIGGERPRI,NNS,#]	[4.053895346266874,4.782747667574851,5.740573976018865]
	cluster24	[TRIGGERPRI,VBP,NNS]	[3.628124017767304,4.008223678402853,4.832419830882941]
		[TRIGGERPRI,NNS,VBZ]	[3.6304863467756965,4.344242218800615,4.83742574439757]
		[TRIGGERPRI,VBP,NN]	[3.628124017767304,4.008223678402853,4.832419830882941]
		[TRIGGERPRI,#,#]	[3.6293051822715006,4.176232948601735,4.834922787640256]
		[TRIGGERPRI,NNS,MD]	[3.6304863467756965,4.344242218800615,4.83742574439757]
		[TRIGGERPRI,NNS,TO]	[3.6304863467756965,4.344242218800615,4.83742574439757]
	cluster25	[TRIGGERPRI,IN,NN]	[7.186050675889683,8.435137547124944,12.652989041759625]
	cluster26	[TRIGGERPRI,VBN,NN]	[5.804664013894165,6.2802782781889865,9.566453782846057]
	cluster27	[TRIGGERPRI,VBZ,JJ]	[7.2026673106263495,8.732682356575063,12.69037874659527]
